id,url,http,code,hsts,https,scode,shsts,CertificateStatus,SignatureStatus,Expired,Fingerprint,SSLv2,SSLv3,TLS1,NPN/SPDY,ALPN/HTTP2,score1,score2,score3,score4,score5,score6,total_score,domain_grade
1,www.dlit.bodin3.ac.th,no,500,,no,300,max-age=31536000,no,ok,25.6,-,-,no,-,yes,no,9.4,7.8,0.7,3.9,8.8,9.5,40.1,C
2,www.tonkla.ac.th,no,500,,no,500,max-age=31536000,no,-,11.6,no,-,yes,yes,-,http2.1,5.9,16.3,6.1,4.2,9.6,20.6,62.7,B
3,www.lambda900.phys.sc.chula.ac.th,yes,500,no,yes,500,max-age=31536000 include-subdomain,-,-,63.3,no,-,-,-,-,no,5.6,16.9,1.8,3.5,9.5,20.7,58,C+
4,www.www2014.nida.ac.th,yes,400,,no,200,max-age=31536000,no,-,81.6,-,-,-,no,yes,no,9.6,0.2,3.9,7.6,1.5,2.6,25.4,F
5,www.prlprt1.phys.sc.chula.ac.th,yes,300,no,yes,400,max-age=31536000 include-subdomain,-,-,46,no,-,no,yes,no,no,7.7,6.3,1.8,7.6,8.6,1.9,33.9,D
6,www.1pondo.phys.sc.chula.ac.th,no,500,no,no,400,no,-,ok,1.5,no,yes,no,-,yes,-,9,17.2,8.4,5.3,3.8,16.5,60.2,B
7,www.npif5ae03.acc.chula.ac.th,yes,400,,yes,300,max-age=31536000 include-subdomain,-,ok,35.4,sha1,yes,-,yes,-,http2.1,4.5,6.5,6,2.9,9,28.8,57.7,C+
8,www.cardmg.nmrsw2.ac.th,yes,300,,no,300,max-age=31536000,no,-,92.3,sha1,no,yes,-,no,no,0.2,11.2,4.3,1.7,2.4,16.1,35.9,D
9,www.webdisk.bk2.ac.th,yes,200,no,no,200,max-age=31536000,-,-,60.3,sha1,-,-,no,yes,http2.1,2.7,6.8,0.8,5,0.1,32.8,48.2,C
10,www.chalerm60.ac.th,no,500,no,yes,400,no,good,ok,10.5,sha1,no,yes,-,no,no,7.4,1.8,0.6,9,3.1,30.6,52.5,C+
11,www.finbsd1.acc.chula.ac.th,no,400,no,yes,400,max-age=31536000 include-subdomain,good,-,14.5,-,-,no,no,yes,-,6.1,15.8,6.3,8.5,8.5,18.9,64.1,B
12,www.npi22e423.acc.chula.ac.th,yes,400,,no,200,no,no,ok,86.6,no,no,no,-,yes,-,8.8,12.5,2.4,2.4,4.6,36.6,67.3,B
13,www.tesaban7.ac.th,yes,300,no,no,500,no,no,-,42,sha1,-,no,-,no,-,6.3,10.1,7.2,9.9,1.1,7.7,42.3,C
14,www.cuml.md.chula.ac.th,yes,400,,yes,400,max-age=31536000,good,-,90.6,no,-,yes,yes,no,-,6.8,17.4,2.1,3,6.9,2.5,38.7,D
15,www.nox.acc.chula.ac.th,no,500,,no,400,no,good,ok,16.9,sha1,yes,yes,no,no,-,9.2,19.6,2.5,9.8,3.6,26,70.7,B+
16,www.kud.phys.sc.chula.ac.th,no,200,no,no,500,max-age=31536000 include-subdomain,no,ok,1.2,no,yes,-,no,-,http2.1,0.5,13,9.5,2.1,9,5.6,39.7,D
17,www.ns1.sw2.ac.th,no,200,no,yes,300,no,no,no,0.5,sha1,yes,yes,yes,yes,no,8.5,13.6,9.3,3.8,7.9,12.7,55.8,C+
18,www.npif29311.acc.chula.ac.th,no,200,no,no,400,max-age=31536000,good,ok,8.9,sha1,no,yes,no,no,no,7,1.5,5.1,4.2,0.9,28.4,47.1,C
19,www.medlib.md.chula.ac.th,yes,400,,yes,300,max-age=31536000 include-subdomain,no,no,40.3,sha1,yes,-,no,-,http2.1,9.4,8,0.8,1.2,6.6,14,40,C
20,www.education.phys.sc.chula.ac.th,no,500,no,no,400,max-age=31536000 include-subdomain,no,no,95.8,sha1,-,no,-,-,no,3.5,5.2,3.5,1.6,7.5,19.4,40.7,C
21,www.it04.phys.sc.chula.ac.th,no,200,,yes,300,no,-,ok,56.5,sha1,no,no,yes,yes,-,1.9,15,2.5,0.9,0.6,5.7,26.6,F
22,www.bodin3.ac.th,no,500,no,yes,500,max-age=31536000,no,no,7.3,no,-,yes,yes,-,no,8.1,19.3,3.9,1.2,6.7,25.2,64.4,B
23,www.ts3.ac.th,yes,200,no,yes,500,max-age=31536000 include-subdomain,-,-,70.8,no,no,-,-,-,no,3.3,9.8,9,5.9,7.2,27.8,63,B
24,www.cms-squid.sc.chula.ac.th,yes,400,no,yes,500,no,no,no,84.9,sha1,yes,yes,no,no,-,2.6,11.9,3.7,8.7,1.9,32.1,60.9,B
25,www.nitrogen.phys.sc.chula.ac.th,yes,400,no,no,300,no,good,-,37.9,sha1,yes,-,yes,no,no,4.7,9.3,3.8,5.6,2,22.2,47.6,C
